previous_crop,soil_nitrogen,soil_ph,rainfall,temperature,recommended_next_crop
Soybean,32,6.4,1233,27,Barley
Millet,38,7.1,1038,17,Cotton
Maize,38,6.8,957,30,Soybean
Cotton,37,7.4,1247,29,Tomato
Barley,30,6.4,816,31,Wheat
Potato,17,5.5,350,25,Wheat
Rice,38,6.6,878,28,Maize
Maize,30,6.6,371,35,Soybean
Barley,21,7.3,358,25,Wheat
Maize,47,6.8,1278,22,Soybean
Millet,30,6.9,885,25,Cotton
Millet,43,6.8,1115,29,Cotton
Soybean,40,6.5,822,35,Barley
Barley,49,6.5,662,28,Wheat
Soybean,25,5.8,1399,34,Barley
Potato,22,7.3,606,16,Wheat
Sugarcane,34,6.6,689,15,Potato
Sugarcane,32,7.0,1306,30,Potato
Potato,25,6.5,794,30,Wheat
Maize,10,6.7,653,23,Soybean
Barley,45,7.1,1109,30,Wheat
Potato,27,5.8,668,34,Wheat
Cotton,32,5.7,844,21,Tomato
Rice,40,5.6,997,20,Maize
Sugarcane,18,6.3,1079,25,Potato
Rice,35,5.8,587,22,Maize
Tomato,40,6.0,655,18,Rice
Wheat,24,7.5,419,16,Rice
Wheat,29,5.5,357,18,Rice
Potato,29,6.2,1064,16,Wheat
Tomato,17,6.2,1110,27,Rice
Tomato,39,7.1,1003,25,Rice
Millet,28,5.8,828,29,Cotton
Tomato,34,7.0,1404,26,Rice
Barley,40,6.9,698,34,Wheat
Cotton,22,6.7,1252,17,Tomato
Cotton,36,6.7,922,32,Tomato
Soybean,14,6.0,1298,25,Barley
Tomato,24,5.9,1176,26,Rice
Potato,38,6.7,1249,17,Wheat
Soybean,16,6.6,1376,31,Barley
Millet,11,5.5,449,24,Cotton
Wheat,28,7.1,864,24,Rice
Rice,22,6.5,1350,28,Maize
Millet,34,5.5,878,17,Cotton
Barley,20,6.2,1349,35,Wheat
Sugarcane,18,6.3,458,22,Potato
Millet,30,7.1,1449,20,Cotton
Sugarcane,34,7.0,1112,31,Potato
Wheat,46,7.3,1305,28,Rice
Cotton,15,7.0,337,21,Tomato
Rice,37,6.6,357,24,Maize
Rice,49,7.2,364,33,Maize
Potato,15,7.0,1265,24,Wheat
Sugarcane,43,6.0,982,23,Potato
Rice,20,7.5,523,35,Maize
Sugarcane,11,6.5,1193,34,Potato
Potato,15,6.7,439,30,Wheat
Sugarcane,24,6.0,949,25,Potato
Cotton,24,5.6,717,17,Tomato
Maize,13,6.1,1154,30,Soybean
Tomato,46,5.8,1258,16,Rice
Cotton,32,6.2,1149,29,Tomato
Tomato,13,7.2,1228,32,Rice
Maize,27,6.8,1387,24,Soybean
Sugarcane,37,6.8,940,32,Potato
Rice,12,6.5,831,24,Maize
Soybean,35,5.7,637,35,Barley
Cotton,33,6.7,1287,28,Tomato
Millet,40,6.3,350,34,Cotton
Soybean,50,6.4,741,29,Barley
Maize,37,6.6,1437,26,Soybean
Wheat,41,5.6,443,33,Rice
Potato,47,5.5,1153,19,Wheat
Cotton,36,6.5,1118,23,Tomato
Maize,48,6.1,556,26,Soybean
Sugarcane,34,6.4,1181,31,Potato
Maize,18,7.4,833,17,Soybean
Millet,42,6.5,1492,20,Cotton
Tomato,28,7.0,1209,31,Rice
Rice,42,6.3,1454,24,Maize
Rice,24,6.6,375,35,Maize
Potato,47,5.6,309,18,Wheat
Wheat,17,6.0,1210,27,Rice
Soybean,28,6.3,1224,16,Barley
Maize,12,5.7,412,31,Soybean
Sugarcane,49,6.8,943,30,Potato
Soybean,14,6.7,612,24,Barley
Potato,38,6.3,1133,23,Wheat
Barley,25,6.4,670,35,Wheat
Soybean,41,5.9,1329,26,Barley
Cotton,43,7.3,1484,30,Tomato
Soybean,40,6.7,315,16,Barley
Soybean,29,5.6,510,27,Barley
Rice,48,6.4,506,24,Maize
Millet,47,6.6,819,30,Cotton
Sugarcane,13,6.3,478,35,Potato
Wheat,21,6.8,1390,16,Rice
Maize,11,7.4,996,35,Soybean
Potato,16,6.4,1418,34,Wheat
Millet,49,7.3,834,24,Cotton
Potato,24,7.4,432,21,Wheat
Barley,16,5.9,475,21,Wheat
Soybean,49,7.0,807,22,Barley
Maize,19,6.8,804,24,Soybean
Soybean,29,5.9,439,18,Barley
Potato,29,7.4,669,27,Wheat
Tomato,13,6.0,1221,33,Rice
Wheat,20,5.7,411,27,Rice
Soybean,44,6.1,515,21,Barley
Soybean,30,6.7,761,31,Barley
Rice,13,6.9,693,34,Maize
Barley,48,6.6,1455,16,Wheat
Barley,45,7.4,1407,32,Wheat
Millet,37,6.1,358,24,Cotton
Sugarcane,29,6.2,818,26,Potato
Sugarcane,19,6.2,989,30,Potato
Barley,21,6.7,961,27,Wheat
Soybean,15,5.9,537,31,Barley
Tomato,16,6.9,943,27,Rice
Millet,48,6.8,1006,31,Cotton
Sugarcane,49,6.9,483,18,Potato
Millet,15,6.1,513,23,Cotton
Sugarcane,30,6.2,775,16,Potato
Sugarcane,12,6.1,1302,21,Potato
Tomato,36,5.7,1272,32,Rice
Rice,34,7.1,1466,24,Maize
Potato,44,6.5,1335,24,Wheat
Potato,32,7.3,1339,34,Wheat
Sugarcane,29,7.1,896,25,Potato
Millet,26,6.3,966,30,Cotton
Potato,19,7.0,566,25,Wheat
Maize,34,6.6,1449,23,Soybean
Soybean,35,7.5,842,32,Barley
Potato,50,6.3,1213,15,Wheat
Maize,31,6.5,588,22,Soybean
Rice,19,7.2,444,27,Maize
Barley,10,7.5,1033,17,Wheat
Potato,21,6.9,1230,22,Wheat
Wheat,34,6.2,1338,19,Rice
Rice,29,6.5,1072,15,Maize
Rice,48,6.0,1350,30,Maize
Rice,49,6.1,1084,33,Maize
Soybean,11,7.1,552,19,Barley
Tomato,45,6.0,985,26,Rice
Potato,17,7.5,492,33,Wheat
Tomato,32,6.6,479,27,Rice
